file,realisation,grammatical_cat,duration,word,fol_seg,vowels_per_second
2012_SEL2091_009_b,in,verb,0.151,LIVING,HH,3.863
2012_SEL2091_009_b,in,verb,0.03,DOING,W,6.924
2012_SEL2091_009_b,in,noun,0.239,MORNING,sp,3.322
2012_SEL2091_009_b,in,verb,0.099,DOING,T,5.294
2012_SEL2091_009_b,in,verb,0.031,DOING,IH,6.923
2012_SEL2091_009_b,ing,thing,0.091,ANYTHING,EH,5.438
2012_SEL2091_009_b,ing,verb,0.029,WORKING,AH,3.846
2012_SEL2091_009_b,ing,noun,0.07,BEING,IH,5.028
2012_SEL2091_009_b,in,verb,0.079,NEEDING,L,4.765
2012_SEL2091_009_b,in,thing,0.07,NOTHING,HH,4
2012_SEL2091_009_b,in,noun,0.11,MORNING,AH,5.357
2012_SEL2091_009_b,ing,verb,0.13,WALKING,AH,5.085
2012_SEL2091_009_b,ing,thing,0.11,ANYTHING,L,5.724
2012_SEL2091_009_b,in,verb,0.08,GOING,AA,5.937
2012_SEL2091_009_b,in,verb,0.03,COMING,B,3.986
2012_SEL2091_009_b,in,verb,0.1,TRAINING,sp,3.601
2012_SEL2091_009_b,in,verb,0.08,RUNNING,sp,3.6
2012_SEL2091_009_b,in,verb,0.08,RUNNING,sp,2.827
2012_SEL2091_009_b,ing,thing,0.12,EVERYTHING,EH,4.278
2012_SEL2091_009_b,ing,thing,0.03,ANYTHING,DH,2.489
2012_SEL2091_009_b,in,verb,0.09,GOING,AA,3.815
2012_SEL2091_009_b,in,verb,0.029,DOING,N,6.25
2012_SEL2091_009_b,ing,thing,0.2,EVERYTHING,sp,3.378
2012_SEL2091_009_b,ing,verb,0.07,COMING,T,4.655
2012_SEL2091_009_b,in,thing,0.09,NOTHING,F,4.779
2012_SEL2091_009_b,in,verb,0.03,DOING,sp,0.527
2012_SEL2091_009_b,ing,verb,0.129,WORKING,D,5.756
2012_SEL2091_009_b,in,verb,0.04,WORKING,AE,6.863
2012_SEL2091_009_b,in,verb,0.05,GETTING,sp,5.596
2012_SEL2091_009_b,in,verb,0.08,PLAYING,AH,5.36
2012_SEL2091_009_b,ing,verb,0.05,PLAYING,F,3.723
2012_SEL2091_009_b,in,verb,0.04,TRAILING,AE,5.169
2012_SEL2091_009_b,in,verb,0.039,COMING,HH,5.988
2012_SEL2091_009_b,in,thing,0.041,SOMETHING,sp,4.142
2012_SEL2091_009_b,in,verb,0.049,WORKING,F,5.702
2012_SEL2091_009_b,ing,other,0.069,DURING,DH,5.556
2012_SEL2091_009_b,in,verb,0.04,TAKING,DH,5.714
2012_SEL2091_009_b,ing,thing,0.121,EVERYTHING,AH,3.292
2012_SEL2091_009_b,in,noun,0.161,MARKETING,B,3.041
2012_SEL2091_009_b,in,verb,0.191,GETTING,sp,4.54
2012_SEL2091_009_b,in,thing,0.03,ANYTHING,AH,9.768
2012_SEL2091_009_b,in,verb,0.101,LOOKING,ER,4.878
2012_SEL2091_009_b,in,thing,0.09,SOMETHING,AH,3.661
2012_SEL2091_009_b,in,verb,0.05,GIVING,DH,4.785
2012_SEL2091_009_b,in,verb,0.03,GETTING,S,5.311
2012_SEL2091_009_b,in,verb,0.189,TALKING,sp,4.357
2012_SEL2091_009_b,in,verb,0.051,HAVING,T,5.231
2012_SEL2091_009_b,in,verb,0.071,DOING,EY,6.796
2012_SEL2091_009_b,in,verb,0.049,GOING,IH,0.51
2012_SEL2091_009_b,in,noun,0.179,CLANCKING,B,4.189
2012_SEL2091_009_b,ing,thing,0.091,ANYTHING,L,5.303
2012_SEL2091_009_b,ing,verb,0.2,CONTRACTING,sp,2.112
2012_SEL2091_009_b,in,verb,0.081,RUNNING,DH,2.352
2012_SEL2091_009_b,ing,thing,0.059,EVERYTHING,HH,6.118
2012_SEL2091_009_b,ing,verb,0.05,GETTING,AH,3.729
2012_SEL2091_009_b,in,noun,0.11,RAFFLING,SH,7.011
2012_SEL2091_009_b,in,verb,0.03,TALKING,sp,2.647
2012_SEL2091_009_b,in,verb,0.08,TELLING,Y,4.678
2012_SEL2091_009_b,in,verb,0.1,OVERFLOWING,sp,3.313
2012_SEL2091_009_b,in,verb,0.029,WALKING,N,5.291
2012_SEL2091_009_b,in,verb,0.03,WALKING,N,6.067
2012_SEL2091_009_b,in,noun,0.03,MEETING,sp,4.703
2012_SEL2091_009_a,ing,verb,0.05,BRING,AH,6.129
2012_SEL2091_009_a,in,verb,0.03,HAVING,L,4.003
2012_SEL2091_009_a,ing,verb,0.1,OVERLOOKING,sp,2.018
2012_SEL2091_009_a,in,thing,0.091,SOMETHING,DH,5.01
2012_SEL2091_009_a,in,noun,0.03,MORNING,ns,5.922
2012_SEL2091_009_a,in,verb,0.06,PLAYING,T,6.395
2012_SEL2091_009_a,ing,verb,0.191,WORKING,AH,4.841
2012_SEL2091_009_a,ing,verb,0.07,ARRIVING,AH,5.263
2012_SEL2091_009_a,ing,verb,0.06,STARTING,AH,3.661
2012_SEL2091_009_a,in,verb,0.04,WORKING,M,6.061
2012_SEL2091_009_a,in,verb,0.12,BEING,DH,4.331
2012_SEL2091_009_a,ing,noun,0.09,HOUSING,sp,1.742
2012_SEL2091_009_a,ing,noun,0.14,HOUSING,sp,1.791
